Column1,shares,likes,Unnamed: 3,Unnamed: 4
714,630,3865,,
715,155,1949,,
716,272,3462,,
717,576,1345,,
718,231,1414,,
719,336,721,,
720,83,655,,
721,238,881,,
722,335,790,,
723,654,6802,,
724,83,808,,
725,1244,10938,,
726,562,2135,,
727,752,2203,,
728,576,2539,,
729,1428,9205,,
730,5277,22227,,
731,255,4128,,
732,446,1405,,
733,1626,14744,,
734,283,3925,,
735,231,2462,,
736,1210,28519,,
737,1231,13337,,
738,2665,5125,,
739,4533,23978,,
740,738,2591,,
741,841,2945,,
742,1259,10071,,
743,253,1450,,
744,2378,2580,,
745,2548,2671,,
746,1664,8616,,
747,1013,2365,,
748,880,7762,,
749,1069,5344,,
750,3441,9244,,
751,6306,2224,,
752,4670,1856,,
753,7020,2887,,
754,867,720,,
755,8138,41360,,
756,1014,1038,,
757,251,1782,,
758,95,556,,
759,288,1952,,
760,147,1151,,
761,2504,17429,,
762,37,428,,
763,252,1014,,
764,121,918,,
765,312,702,,
766,2511,5545,,
767,63,436,,
768,602,4990,,
769,583,1477,,
770,66,815,,
771,492,1058,,
772,3671,15413,,
773,1355,15312,,
774,1530,1940,,
775,496,1184,,
776,1278,23969,,
777,1115,1017,,
778,134,1149,,
779,928,12327,,
780,5491,1967,,
781,700,2276,,
782,1886,8303,,
783,13386,54987,,
784,181,1154,,
785,117,462,,
786,213,1421,,
787,434,1376,,
788,3159,41877,,
789,5618,4785,,
790,380,503,,
791,78,1099,,
792,6994,4933,,
793,2287,8245,,
794,970,5903,,
795,132,603,,
796,1850,1068,,
797,2187,22658,,
798,268,3550,,
799,2778,1749,,
800,1806,5056,,
801,935,7289,,
802,2920,2144,,
803,340,655,,
804,1243,14941,,
805,133,784,,
806,327,2122,,
807,270,4023,,
808,335,4716,,
809,434,2471,,
810,1836,11654,,
811,5522,19753,,
812,310,6636,,
813,698,2567,,
814,8138,41360,,
815,1281,23276,,
816,196,2261,,
817,1183,13986,,
818,6994,4933,,
819,1535,1638,,
820,6083,41196,,
821,1054,23914,,
822,358,843,,
823,619,756,,
824,1762,6664,,
825,369,473,,
826,4834,47005,,
827,510,1321,,
828,14199,45292,,
829,563,7142,,
830,2373,6615,,
831,20973,92423,,
832,555,752,,
833,3890,8384,,
834,27999,26250,,
835,264,3591,,
836,4094,86140,,
837,3544,11926,,
838,2209,23702,,
839,638,1938,,
840,1476,1247,,
841,1005,723,,
842,2273,1775,,
843,1535,10696,,
844,1372,1130,,
845,2338,7433,,
846,509,1862,,
847,2077,9037,,
848,3261,5144,,
849,13249,43476,,
850,6855,31192,,
851,3515,18550,,
852,6653,18528,,
853,181,1248,,
854,648,7739,,
855,447,2590,,
856,2836,18206,,
857,1178,13007,,
858,2476,13317,,
859,5291,6957,,
860,380,3910,,
861,649,2284,,
862,6187,37329,,
863,12059,19548,,
864,7866,47553,,
865,2138,20289,,
866,3706,15787,,
867,8856,29823,,
868,7831,28027,,
869,1205,9628,,
870,30510,56389,,
871,12775,44941,,
872,58145,48495,,
873,701,5975,,
874,327,7045,,
875,1047,12937,,
876,581,4844,,
877,994,8260,,
878,347,1925,,
879,226,2487,,
880,136,2333,,
881,858,2300,,
882,288,303,,
883,366,516,,
884,8481,26354,,
885,419,2610,,
886,2036,17215,,
887,29471,14142,,
888,1079,9843,,
889,3112,19973,,
890,1699,19593,,
891,392,3457,,
892,22475,49785,,
893,1594,1027,,
894,9099,23758,,
895,32641,69383,,
896,0,1305,,
897,782,1781,,
898,5398,2664,,
899,8195,40891,,
900,1836,13347,,
901,4690,47554,,
